Source,Target
6916,10987
6916,5648
6916,10408
19208,21364
19208,11620
19208,7786
19208,21424
19208,14093
19208,21502
19208,7540
8977,5762
8977,5658
8977,52164
8977,52853
8977,60440
8977,7858
17170,13001
17170,7861
17170,11412
17170,1434
11026,14715
11026,32108
11026,10987
11026,32241
11026,6684
47898,47453
47898,124645
47898,21033
19234,372435
19234,16738
19234,170
19234,59157
19234,15375
19234,6667
113447,33965
113447,8668
113447,182379
113447,58003
113447,15344
113447,13001
113447,30355
113447,8593
113447,36870
113447,35953
39721,11412
39721,13463
39721,13417
39721,39063
39721,47389
39721,58003
39721,25416
39721,14763
39721,7861
39721,24052
25387,10987
25387,55210
127788,12688
127788,32241
127788,15346
127788,14715
127788,18448
13116,73217
13116,77514
13116,79283
13116,6359
13116,15375
13116,7839
13116,33965
13116,79433
6974,36905
6974,7898
6974,9708
6974,5648
6974,12670
6974,25335
6974,60632
6974,47898
6974,30817
6974,6742
6974,35711
6974,12792
6974,12000
21311,5222
21311,5255
21311,2954
62274,11412
62274,8668
62274,8808
62274,29932
2889,1434
78674,11606
78674,14514
78674,77453
78674,8593
78674,47389
78674,14746
78674,25416
78674,36844
78674,76514
78674,12000
78674,84678
78674,85716
78674,24215
78674,14715
78674,14017
207699,220156
228178,15717
228178,15579
228178,12639
228178,10489
228178,48706
39767,13417
39767,170
39767,6551
39767,14746
39767,12639
39767,1434
50011,15926
50011,47898
50011,30355
50011,102995
50011,20843
174945,52198
174945,24705
174945,21133
174945,35979
174945,14746
174945,29932
174945,14378
9062,29708
9062,29732
9062,21424
9062,379
9062,8593
9062,29797
9062,29932
19314,30239
19314,39063
19314,68335
19314,68355
19314,23940
19314,68410
19314,12670
19314,18873
19314,60675
41843,14633
41843,14636
41843,10471
41843,10541
11128,29732
11128,8794
11128,25416
11128,14017
11128,19425
11128,12896
11128,52589
11128,17314
11128,15344
11128,36844
23419,50109
15232,72575
56194,25416
56194,8950
56194,16579
56194,5222
56194,14017
56194,21133
56194,11620
56194,30355
56194,85574
56194,10987
56194,21424
9091,5658
9091,379
9091,57756
9091,14093
9091,79139
9091,41548
58244,14715
213893,42967
213893,78768
213893,5762
213893,21364
213893,18230
2954,5222
2954,5255
146320,14017
146320,52167
146320,24705
146320,85574
146320,119408
23440,35170
23440,35168
23440,124645
23440,124647
23440,51383
23440,124675
23440,6916
23440,12792
23440,7867
41875,52086
41875,379
41875,8668
41875,29708
41875,14636
41875,7540
41875,6359
41875,92381
41875,21424
35741,13463
35741,12965
35741,34466
35741,5222
164768,6359
164768,14715
164768,11606
164768,47439
164768,34597
164768,78768
164768,299580
164768,24286
76705,9536
76705,12792
76705,7861
76705,6389
76705,6684
76705,13884
76705,36805
76705,201976
76705,12688
76705,201979
76705,14763
76705,13907
76705,14715
17314,12670
17314,7540
17314,54809
17314,54818
17314,54830
17314,29797
17314,10490
17314,7898
17314,12706
17314,35711
13218,25209
13218,32507
13218,61207
13218,15717
13218,190203
13218,11412
13218,15344
13218,42903
13218,25416
76708,25355
76708,77514
76708,17314
76708,44678
13228,16555
13228,17303
13228,64765
13228,64874
27564,79283
27564,5222
27564,22475
27564,6389
27564,10607
27564,14378
27564,379
27564,31380
27564,8926
27564,16559
27564,14746
27564,10471
27564,11620
27564,151908
27564,57868
2988,37640
2988,18448
168883,12639
168883,12628
168883,28219
168883,8950
168883,14746
168883,10182
168883,83300
168883,42559
168883,6551
168883,34752
168883,18228
19384,63454
19384,57422
19384,20134
19384,14763
19384,63500
19384,63626
11193,33965
11193,14746
11193,8794
11193,12000
11193,5964
11193,34015
11193,33522
11193,17420
11193,10714
11193,14715
11193,32241
46016,25603
46016,5762
46016,77514
46016,12349
46016,8668
46016,30355
46016,55210
46016,36870
52167,30419
52167,72575
52167,191935
29640,11606
29640,5762
29640,272451
29640,15447
29640,7839
29640,18228
15307,151908
15307,13907
15307,6389
15307,6551
15307,20134
15307,48706
15307,18737
72656,10987
72656,72575
72656,70010
72656,24215
72656,8950
72656,321346
76758,6986
76758,84678
76758,17303
76758,9536
76758,39063
76758,29674
76758,8668
76758,29932
76758,30058
76758,165401
76758,22475
76758,7839
76758,57422
76758,5654
250839,12670
250839,12628
250839,23949
250839,20134
250839,11412
33754,30483
33754,115454
33754,35953
33754,15344
201697,18873
201697,30355
201697,15344
201697,29279
201697,29708
201697,30327
201697,31867
201697,136401
101348,254400
101348,284627
101348,119834
101348,284651
101348,12628
101348,10427
101348,61207
101348,17547
101348,63454
101348,9788
101348,21120
101348,41548
101348,23460
130020,15475
130020,14746
130020,371706
52198,174945
52198,30715
52198,32507
52198,12349
52198,11412
52198,14636
52198,72575
52198,12628
52198,14764
136166,12670
136166,5762
136166,12639
136166,12628
136166,14514
29674,61096
29674,12706
29674,119405
29674,9679
29674,14636
29674,12349
29674,77514
29674,27564
29674,44542
54259,16579
54259,23949
54259,9679
54259,52589
54259,49248
54259,25335
54259,267200
54259,25416
54259,14764
54259,7568
54259,24001
44021,83300
44021,379
44021,35953
44021,52853
44021,60455
44021,8950
44021,8668
44021,77393
27639,10453
27639,21364
27639,12628
27639,12642
27639,15344
27639,80295
27639,170
27639,78931
27639,25416
27639,14633
27639,70010
27639,25209
27639,14764
27639,106946
27639,12000
234487,12000
234487,8593
234487,14094
27641,25102
27641,14017
27641,170
27641,5648
27641,47389
27641,61207
27641,24705
228346,84678
228346,379
228346,6684
228346,33522
228346,19425
228346,85716
228346,31937
228346,10489
228346,28219
228346,84671
80892,12792
80892,289077
80892,11053
80892,165401
21502,395814
21502,15923
21502,395816
21502,9610
21502,395817
21502,118755
21502,395818
21502,136792
21502,82509
21502,395821
21502,106946
21502,7867
21502,395824
21502,395825
21502,77514
21502,29346
21502,237590
21502,47571
21502,389042
21502,23273
21502,372435
21502,42559
21502,124645
21502,35979
21502,395831
21502,395832
21502,395833
21502,14017
21502,395835
21502,395836
21502,335489
21502,395841
21502,395848
21502,289077
21502,248398
21502,55192
21502,395851
21502,89406
21502,96858
21502,395852
21502,395854
21502,15447
21502,1434
21502,29279
21502,31924
21502,14093
21502,30294
21502,69486
21502,312576
21502,173258
21502,133381
21502,54818
21502,79283
21502,24791
21502,72575
21502,50488
21502,6363
21502,31937
21502,395862
21502,365096
21502,395864
21502,17349
21502,137272
21502,69573
21502,12628
21502,89962
21502,16579
21502,50109
21502,113991
21502,111315
21502,41548
21502,10714
21502,70010
21502,10408
21502,75285
21502,28964
21502,30355
21502,395866
21502,9708
21502,395868
21502,68410
21502,9889
21502,13486
21502,49392
21502,30483
21502,24542
21502,395872
21502,36913
21502,53623
21502,395873
21502,395874
21502,8668
21502,48706
21502,124487
21502,12639
21502,9679
21502,39785
21502,122124
21502,6714
21502,395875
21502,395876
21502,29708
21502,24800
21502,12670
21502,7070
21502,8007
21502,16559
21502,220156
21502,183492
21502,395878
21502,85716
21502,5222
21502,168060
21502,35339
21502,5762
21502,23226
21502,10453
21502,19425
21502,11612
21502,313365
21502,68335
21502,309411
21502,191935
21502,90171
21502,26566
21502,65527
21502,61207
21502,73217
21502,395882
21502,63626
21502,367019
21502,48523
21502,272451
21502,34597
21502,200075
21502,13463
21502,395884
21502,11412
21502,12986
21502,7898
21502,4885
21502,55202
21502,395885
21502,78814
21502,93837
21502,389880
21502,52853
21502,395887
21502,395888
21502,86176
21502,239338
21502,32108
21502,395890
21502,395892
21502,98301
21502,57756
21502,8588
21502,11271
21502,17345
21502,28219
21502,10987
21502,395894
21502,14715
21502,32507
21502,17303
21502,6684
21502,33965
21502,31346
21502,224977
21502,35711
21502,387105
21502,103245
21502,124675
21502,72272
21502,395895
21502,395896
21502,395897
21502,15926
21502,167271
21502,67815
21502,13001
21502,61096
21502,24052
21502,151908
21502,23795
21502,15695
21502,395900
21502,172717
21502,31563
21502,395904
21502,23978
21502,25355
21502,84305
21502,160886
21502,9644
21502,6359
21502,6986
21502,35953
21502,52589
21502,27533
21502,395907
21502,10471
21502,284020
21502,395908
21502,73724
21502,8593
21502,10427
21502,7758
21502,20349
21502,395910
21502,395912
21502,395913
21502,25102
21502,395914
21502,276418
21502,378045
21502,75279
21502,16095
21502,395916
21502,75438
21502,395917
21502,39744
21502,39794
21502,243153
21502,37640
21502,52228
21502,395918
21502,387228
21502,395919
21502,15375
21502,395920
21502,10327
21502,213565
21502,15475
21502,241497
21502,395924
21502,69436
9213,13417
9213,13463
9213,13486
9213,13839
52225,19314
52225,170
52225,6389
52225,56491
52225,38190
52225,27533
52225,29674
52225,10182
52225,12792
52225,8950
15364,23879
15364,21033
15364,26566
13328,24791
13328,24800
13328,5762
13328,8593
144399,13884
144399,7568
144399,12688
144399,14746
144399,6389
144399,16738
144399,126135
144399,21133
144399,18228
144399,19425
144399,52198
60440,61207
60440,12639
60440,23978
60440,41548
60440,49248
60440,21133
60440,19904
60440,12628
60440,12792
60440,22765
60440,118755
9244,57756
9244,73217
9244,5762
9244,15344
9244,12816
9244,30483
9244,36844
9244,60719
9244,10453
9244,371706
46118,117375
46118,83746
46118,103109
46118,30483
46118,11612
46118,1434
46118,6389
46118,5222
60455,52853
60455,20710
60455,6714
132140,14746
132140,84305
132140,8593
7217,7861
7217,6684
7217,8585
7217,8588
7217,8593
7217,8649
7217,6389
7217,8668
7217,8745
7217,8794
7217,8808
7217,8848
7217,379
7217,8889
31794,14715
31794,22765
31794,39721
70715,24286
70715,16579
70715,85678
70715,14763
70715,13001
70715,34597
70715,24215
70715,19425
70715,30715
70715,32507
70715,16559
27708,243153
27708,243249
27708,243273
50238,16774
50238,17551
50238,276667
50238,58003
50238,252089
50238,14715
83006,50488
83006,8794
83006,69573
83006,14190
83006,15329
83006,14746
83006,6389
83006,6684
191554,84166
191554,389042
191554,29797
9286,11412
9286,379
9286,12792
9286,5
9286,8593
9286,14017
72776,37640
33875,71054
33875,47571
33875,12670
33875,9500
33875,89406
33875,7744
33875,7803
33875,84678
33875,40115
33875,9644
33875,9613
33875,10427
33875,44542
50260,14715
50260,20843
50260,36870
50260,6389
50260,17551
23641,14763
23641,24800
23641,8950
23641,17349
23641,11412
23641,14897
23641,25209
23641,12349
23641,5654
23641,5658
23641,13463
23641,11606
23641,58003
40025,12670
40025,25102
40025,16555
40025,55210
40025,28219
40025,14715
40025,13417
40025,25416
40025,14636
40025,37640
40025,214239
40025,9889
13407,77514
13407,12000
13407,82356
13407,21364
13407,8593
13407,18228
13407,82489
87136,60632
87136,10471
87136,23949
87136,12349
87136,12792
87136,8950
87136,403787
87136,12639
87136,16579
87136,5648
87136,12706
87136,30715
164966,34610
164966,7867
164966,57756
164966,24052
164966,272865
164966,21364
164966,13486
164966,52853
164966,17314
17512,23273
17512,11412
17512,83126
17512,75438
17512,48596
17512,30355
17512,10490
17512,51383
17512,14763
17512,25416
17512,61207
17512,55202
17512,49248
17512,55192
17512,8593
13417,39625
13417,15695
13417,39721
13417,39744
13417,39767
17522,25102
17522,11620
